date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st_x,Home 1st_x,YRFI,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st_y,Home 1st_y,home_starter_clean,home_era,away_starter_clean,away_era,day_of_week,same_hand
2025-04-03,Colorado Rockies,1-5,1.0,Philadelphia Phillies,5-1,3.0,0.0,0.0,0,Colorado Rockies,Philadelphia Phillies,A. Senzatela (R),R,T. Walker (R),R,0.0,0.0,T. Walker,2.3,A. Senzatela,5.89,3,1
2025-04-04,Miami Marlins,4-4,0.0,Atlanta Braves,1-7,10.0,0.0,0.0,0,Miami Marlins,Atlanta Braves,C. Quantrill (R),R,A. Smith-Shawver (R),R,2.0,0.0,A. Smith-Shawver,4.61,C. Quantrill,5.79,4,1
2025-04-04,St. Louis Cardinals,4-3,9.0,Boston Red Sox,4-4,13.0,0.0,5.0,1,St. Louis Cardinals,Boston Red Sox,A. Pallante (R),R,S. Newcomb (L),L,0.0,0.0,S. Newcomb,3.63,A. Pallante,3.22,4,0
2025-04-04,San Diego Padres,7-1,1.0,Chicago Cubs,6-4,3.0,0.0,1.0,1,San Diego Padres,Chicago Cubs,K. Hart (L),L,B. Brown (R),R,3.0,5.0,B. Brown,5.09,K. Hart,6.48,4,0
2025-04-04,Chicago White Sox,2-5,4.0,Detroit Tigers,3-4,7.0,0.0,1.0,1,Chicago White Sox,Detroit Tigers,M. Perez (L),L,J. Jobe (R),R,2.0,0.0,J. Jobe,2.7,M. Perez,3.15,4,0
2025-04-04,Baltimore Orioles,3-5,2.0,Kansas City Royals,3-4,8.0,0.0,1.0,1,Baltimore Orioles,Kansas City Royals,C. Povich (L),L,K. Bubic (L),L,0.0,3.0,K. Bubic,1.88,C. Povich,6.38,4,1
2025-04-04,Cleveland Guardians,3-4,8.0,Los Angeles Angels,4-3,6.0,1.0,1.0,1,Cleveland Guardians,Los Angeles Angels,L. Ortiz (R),R,T. Anderson (L),L,1.0,0.0,T. Anderson,2.08,L. Ortiz,5.48,4,0
2025-04-04,Cincinnati Reds,2-6,2.0,Milwaukee Brewers,4-4,3.0,0.0,0.0,0,Cincinnati Reds,Milwaukee Brewers,C. Spiers (R),R,C. Patrick (R),R,0.0,0.0,C. Patrick,1.76,C. Spiers,4.82,4,1
2025-04-04,Toronto Blue Jays,5-3,0.0,New York Mets,4-3,5.0,0.0,2.0,1,Toronto Blue Jays,New York Mets,B. Francis (R),R,D. Peterson (L),L,0.0,0.0,D. Peterson,3.27,B. Francis,3.13,4,0
2025-04-04,Los Angeles Dodgers,8-1,2.0,Philadelphia Phillies,6-1,3.0,0.0,1.0,1,Los Angeles Dodgers,Philadelphia Phillies,T. Glasnow (R),R,C. Sanchez (L),L,2.0,0.0,C. Sanchez,2.96,T. Glasnow,4.85,4,0
2025-04-04,New York Yankees,5-2,9.0,Pittsburgh Pirates,2-6,4.0,0.0,0.0,0,New York Yankees,Pittsburgh Pirates,W. Warren (R),R,A. Heaney (L),L,1.0,0.0,A. Heaney,2.13,W. Warren,5.17,4,0
2025-04-04,Seattle Mariners,3-5,9.0,San Francisco Giants,6-1,10.0,1.0,1.0,1,Seattle Mariners,San Francisco Giants,B. Woo (R),R,J. Hicks (R),R,1.0,0.0,J. Hicks,6.04,B. Woo,3.12,4,1
2025-04-04,Tampa Bay Rays,4-3,2.0,Texas Rangers,6-2,5.0,0.0,0.0,0,Tampa Bay Rays,Texas Rangers,D. Rasmussen (R),R,K. Rocker (R),R,0.0,0.0,K. Rocker,6.38,D. Rasmussen,0.87,4,1
2025-04-04,Arizona Diamondbacks,5-3,6.0,Washington Nationals,1-6,4.0,1.0,3.0,1,Arizona Diamondbacks,Washington Nationals,C. Burnes (R),R,T. Williams (R),R,1.0,2.0,T. Williams,5.95,C. Burnes,4.64,4,1
2025-04-05,Miami Marlins,5-4,4.0,Atlanta Braves,1-8,0.0,2.0,0.0,1,Miami Marlins,Atlanta Braves,C. Quantrill (R),R,A. Smith-Shawver (R),R,2.0,0.0,A. Smith-Shawver,4.61,C. Quantrill,5.79,5,1
