Game Date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st,Home 1st,YRFI
2025-04-15,New York Mets,11-6,3.0,Minnesota Twins,6-12,6.0,1.0,0.0,1
2025-04-15,Kansas City Royals,8-10,2.0,New York Yankees,10-7,4.0,0.0,0.0,0
2025-04-15,San Francisco Giants,12-5,4.0,Philadelphia Phillies,10-7,6.0,0.0,0.0,0
2025-04-15,Washington Nationals,7-10,3.0,Pittsburgh Pirates,6-12,0.0,1.0,0.0,1
2025-04-15,Chicago Cubs,12-8,2.0,San Diego Padres,14-4,1.0,0.0,0.0,0
2025-04-15,Houston Astros,8-9,2.0,St. Louis Cardinals,8-9,0.0,0.0,0.0,0
2025-04-15,Boston Red Sox,9-10,7.0,Tampa Bay Rays,8-9,4.0,1.0,0.0,1
2025-04-15,Los Angeles Angels,9-7,0.0,Texas Rangers,10-7,4.0,0.0,0.0,0
2025-04-15,Atlanta Braves,5-12,3.0,Toronto Blue Jays,10-8,6.0,1.0,0.0,1
2025-04-16,Cleveland Guardians,9-8,1.0,Baltimore Orioles,7-10,9.0,0.0,0.0,0
2025-04-16,Athletics,8-10,3.0,Chicago White Sox,4-13,1.0,0.0,0.0,0
2025-04-16,Seattle Mariners,9-9,5.0,Cincinnati Reds,9-9,3.0,1.0,0.0,1
2025-04-16,Colorado Rockies,3-15,7.0,Los Angeles Dodgers,14-6,8.0,1.0,7.0,1
2025-04-16,Arizona Diamondbacks,11-7,6.0,Miami Marlins,8-9,2.0,0.0,0.0,0
2025-04-16,Detroit Tigers,10-8,1.0,Milwaukee Brewers,10-9,5.0,0.0,0.0,0
2025-04-16,New York Mets,11-7,3.0,Minnesota Twins,7-12,4.0,0.0,0.0,0
